OpenFork Discoveries — 2026-08-14
共 300 个仓库（每日上限 300）
条件: 主流语言 · Star 1-20 · 90 天内更新 · 含 README 与许可证 · 非 fork · 非空仓库

1. https://github.com/PunishXIV/Questionable |  | C# | 21 stars | AGPL-3.0
45. https://github.com/dhis2/data-visualizer-app | DHIS2 Data Visualizer App | JavaScript | 20 stars | BSD-3-Clause
46. https://github.com/littlebyteorg/appledb-web |  | JavaScript | 20 stars | MIT
47. https://github.com/gandazgul/runwield | RunWield is an anti-slop, human in the loop software engineering harness. It allows you to wield LLMs as precision tools that augment your capabilities. | JavaScript | 20 stars | NOASSERTION
48. https://github.com/comunica/jQuery-Widget.js | 🖼 A jQuery widget to query heterogeneous interfaces using Comunica SPARQL | JavaScript | 20 stars | MIT
49. https://github.com/fvdm/nodejs-ns-api | Unofficial NodeJS module for Nederlandse Spoorwegen API | JavaScript | 20 stars | Unlicense
50. https://github.com/Felix-au/Sonixx-Website-Audio-Routing-and-Soundbaord |  Official landing website for Sonixx, a native Windows virtual audio router that captures per-app live audio and mic streams into a virtual mic for Discord, OBS, and games. Built with React 19, Vite 8 and WebGL Canvas. | JavaScript | 20 stars | MIT
51. https://github.com/NeteaseCloudMusicApiEnhanced/UnblockNeteaseMusic-utils | 网易云音乐受限歌曲解锁API || UnblockNeteaseMusic-utils api | JavaScript | 20 stars | MIT
52. https://github.com/Google-Health-API/create-fitbit-app |  | JavaScript | 20 stars | MIT
53. https://github.com/WICG/install-element | An `<install>` element might be nice. | JavaScript | 20 stars | CC-BY-4.0
54. https://github.com/Kappaemme-git/build-startup-brand | Build a distinctive startup brand identity with Codex and receive an openable visual report. | JavaScript | 20 stars | MIT
55. https://github.com/lastwall/whmcs-hetzner-cloud-automation | Free WHMCS provisioning module for Hetzner Cloud, allowing automated server creation, Power management, ISO image, Rebuild, Password reset and termination or Suspend directly from WHMCS. | JavaScript | 20 stars | NOASSERTION
56. https://github.com/Eomm/why-don-t-you-tweet | Tweet your GitHub events! | JavaScript | 20 stars | MIT
57. https://github.com/Orsso/flourish | Motion engine for the GNOME Shell's Dash. Full support for Dash to Dock & Ubuntu Dock. | JavaScript | 20 stars | GPL-2.0
58. https://github.com/neilbauman21-hub/free-moveis-api |  VidZee provider tracking their current API, plus a TMDB->MP4 streaming endpoint. | JavaScript | 20 stars | MIT
59. https://github.com/RBraga01/Quality-Engineering-Skills | 22 quality engineering skills and 8 agents for AI — ISO 9001, IATF 16949, AIAG-VDA FMEA, VDA 6.3, PPAP, APQP, SPC, MSA | JavaScript | 20 stars | MIT
60. https://github.com/chenj-freedom/PixelType | A browser-based typing game for elementary school students, featuring both Chinese and English versions. Pure frontend—just open and play. | JavaScript | 20 stars | MIT
61. https://github.com/Supergiovane/node-red-contrib-sia-ultimate | Connect your SIA-DCS compatible alarm system to node-red. It works with Ajax System too. | JavaScript | 20 stars | MIT
62. https://github.com/deusaw/Pebble-Wrist-AI |  | JavaScript | 20 stars | NOASSERTION
63. https://github.com/IBM/node-sdk-core | The node-sdk-core repository contains core functionality required by code generated by the IBM OpenAPI SDK Generator.  | JavaScript | 20 stars | Apache-2.0
64. https://github.com/Grisha-Pochuev/finite-magma-e677-to-e255 | The Open Mathematics Project: reproducible research on the finite magma problem E677 -> E255 | JavaScript | 20 stars | MIT
65. https://github.com/robertskmiles/firefox-claudemonkey | AI-authored Firefox userscripts: describe a change to the current site and a local Claude Code instance writes/edits the userscript. Fork of Violentmonkey. | JavaScript | 20 stars | MIT
66. https://github.com/XiaoDaiGua-Ray/vue3-next-qrcode | A QR Code component about vue3 that supports rich attributes such as LOGO GIF. Support SSR! | JavaScript | 20 stars | MIT
